dBLUE,dDVI,dEVI,dGREEN,dLSWI,dNBR,dNBR2,dNBR_,dNDRE1,dNDSI,dNDVI,dNDWI,dNIR,dPEP,dRDFI,dRED,dRED1,dRED2,dRED3,dRED4,dRVI,dSAVI,dSWIR1,dSWIR2,Landcover
-204,1553,1.325476162,-71,0.033781252,1.105419933,0.667855083,-0.826501318,0.484906801,0.518607541,0.6749392,-0.494952821,1326.5,-5.947312734,0.049064354,-226.5,50,1030,1238.5,1352,-0.098128708,1.012222341,-499.5,-1228.5,1
-263.5,2108.5,1.316898988,-124,0.075850308,1.215756202,0.775513927,-0.944661409,0.525722623,0.579466986,0.70648175,-0.555075463,1846,-8.017424295,0.335393246,-262.5,42.5,1276,1736,2007.5,-0.670786493,1.059596847,-493,-1514,1
-269.5,2087,1.500239165,-162.5,0.079564504,1.179860538,0.802544905,-0.908453229,0.539454517,0.537482848,0.7364454,-0.52041965,1698,-6.21521216,0.425790272,-389,-92.5,1149.5,1464,1717,-0.851580544,1.104498898,-731,-1605.5,1
-234.5,1998,1.552275766,-145.5,0.066378555,1.20888549,0.782009234,-0.95786875,0.523318202,0.555501281,0.73188233,-0.529955843,1668.5,-7.166446741,0.124602275,-329.5,-17,1189,1590.5,1745.5,-0.249204551,1.097659298,-693.5,-1604,1
-169,1761,1.475276771,-40,-0.048854765,1.141529935,0.72408088,-0.906604254,0.528917066,0.577889772,0.69353366,-0.469077624,1533,-6.50701907,-0.011850408,-228,132.5,1256,1537,1612,0.023700815,1.040143971,-436.5,-1122.5,1
-206.5,1895,1.524318731,-108.5,0.090344361,1.198821477,0.766969928,-0.922921709,0.540651436,0.529834965,0.7093053,-0.511577634,1611.5,-7.493096409,0.304205587,-283.5,-43.5,1035.5,1444,1519,-0.608411174,1.063800164,-652.5,-1407.5,1
-254.5,2103,1.339814447,-114,0.040199563,1.214353267,0.782703602,-0.953951102,0.530432857,0.578127482,0.69486827,-0.527547938,1829.5,-7.207713426,0.328809338,-273.5,46.5,1321.5,1699,1941,-0.657618676,1.042183164,-575.5,-1517.5,1
-228,1893,1.341932083,-68,0.067439385,1.184899881,0.773125023,-0.90246625,0.462488076,0.51291055,0.69522727,-0.514256,1653.5,-7.139301276,0.22979634,-239.5,99.5,1237.5,1596.5,1686,-0.459592679,1.042688612,-492.5,-1354,1
-186.5,1766.5,1.422939729,-16.5,0.030377096,1.195231295,0.757087528,-0.924575209,0.504308228,0.550714915,0.72939193,-0.526430965,1574.5,-7.419528757,-0.134380567,-192,156,1253.5,1540.5,1651,0.268761134,1.093899072,-388.5,-1088.5,1
-245,1736.5,1.264671974,-102.5,0.019683175,1.021575134,0.606390823,-0.788027834,0.41695483,0.441586871,0.6051585,-0.40869854,1398,-4.852810304,-0.019058417,-338.5,15.5,1070.5,1305,1468.5,0.038116833,0.907598087,-856,-1765,1
-256.5,1509.5,1.163517411,-126,0.031130658,1.042747927,0.603682797,-0.793967829,0.39713435,0.493549607,0.61504894,-0.470472298,1229.5,-5.899758555,0.031014425,-280,49.5,932,1149.5,1315.5,-0.06202885,0.922402613,-752,-1685,1
-128,2099.5,1.605978716,69,0.043669846,1.317293782,0.851955536,-1.041842734,0.538047076,0.567119749,0.77391,-0.546916936,1991.5,-7.645737885,-0.093206082,-108,284,1559.5,1871,2035.5,0.186412163,1.160713139,-159,-959.5,1
-138.5,1777,1.399395883,51.5,0.043230874,1.200318068,0.793001108,-0.903588912,0.49585838,0.480728446,0.6933309,-0.480164081,1651.5,-6.292470442,0.112320277,-125.5,210,1362,1608.5,1707.5,-0.224640553,1.039872137,-223,-849.5,1
-122,2023.5,1.574384177,30,-0.004539167,1.265666404,0.843295008,-0.989531581,0.540874055,0.584139929,0.7112507,-0.518776204,1887.5,-6.395148466,0.010208829,-136,219,1513.5,1800,1951,-0.020417658,1.066776114,-230.5,-999.5,1
-115,1695.5,1.495681279,19,0.011942867,1.281206987,0.8329531,-1.010353896,0.504728896,0.553032782,0.70574635,-0.509742982,1578,-6.105620676,0.118836611,-117.5,207,1286,1514,1628.5,-0.237673222,1.058501478,-274,-954.5,1
-118,2019.5,1.609412506,38,0.007104193,1.272124191,0.841181575,-1.008833308,0.498091249,0.546221967,0.71342665,-0.496929948,1873.5,-5.930051723,-0.175669987,-146,254,1516.5,1767,1919,0.351339974,1.070046188,-248,-1021,1
-184.5,2255,1.444508724,47,0.010557374,1.202923957,0.824971816,-0.956192684,0.465822114,0.445680606,0.6846496,-0.410138092,2022,-4.791083165,0.590650847,-233,240,1657.5,1899.5,2011,-1.181301694,1.026880483,-459.5,-1248,1
-220,2070.5,1.305454575,3,0.019178368,1.117638499,0.791823745,-0.857599331,0.421992306,0.447933298,0.6757146,-0.426941689,1808.5,-5.4965177,0.53635563,-262,228,1506,1784.5,1845.5,-1.072711261,1.013442952,-357.5,-1196,1
