中型车流量,数据时间,大车流量,平均车速,监测点id,微型车流量,长车流量,车头距,id,车流量,平均占道率,轻型车流量
2334,"04-7月 -21 12.00.00.000000000 上午",0,"8.8400000000000006E+001",1001,16497,3366,0,21403,22197,"1.59E+001",0
1507,"26-6月 -21 12.00.00.000000000 上午",0,"9.35E+001",1001,11034,2060,0,21393,14601,"1.0E+001",0
708,"24-6月 -21 12.00.00.000000000 上午",0,"8.3700000000000003E+001",1001,4522,719,0,21391,5949,"6.4000000000000004E+000",0
1271,"05-7月 -21 12.00.00.000000000 上午",0,"9.1400000000000006E+001",1001,9517,1249,0,21404,12037,"8.0999999999999996E+000",0
2228,"07-7月 -21 12.00.00.000000000 上午",0,"9.2599999999999994E+001",1001,15064,3215,0,21406,20507,"1.4E+001",0
1022,"09-6月 -21 12.00.00.000000000 上午",0,"8.5200000000000003E+001",1001,6626,1081,0,21374,8729,"8.0E+000",0
1285,"10-6月 -21 12.00.00.000000000 上午",0,"8.7700000000000003E+001",1001,9249,1412,0,21375,11946,"7.9000000000000004E+000",0
2829,"18-6月 -21 12.00.00.000000000 上午",0,"9.9400000000000006E+001",1001,20006,5613,0,21385,28448,"1.55E+001",0
3348,"19-6月 -21 12.00.00.000000000 上午",0,"9.5799999999999997E+001",1001,21444,5923,0,21386,30715,"1.7600000000000001E+001",0
1515,"15-6月 -21 12.00.00.000000000 上午",0,"9.9799999999999997E+001",1001,12377,2189,0,21382,16081,"9.1999999999999993E+000",0
1011,"08-6月 -21 12.00.00.000000000 上午",0,"9.0099999999999994E+001",1001,7768,1130,0,21373,9909,"7.4000000000000004E+000",0
2595,"17-6月 -21 12.00.00.000000000 上午",0,"1.005E+002",1001,17784,4304,0,21384,24683,"1.3E+001",0
1468,"12-6月 -21 12.00.00.000000000 上午",0,"8.6900000000000006E+001",1001,9776,1925,0,21377,13169,"1.1300000000000001E+001",0
3138,"20-6月 -21 12.00.00.000000000 上午",0,"9.7799999999999997E+001",1001,21013,5051,0,21387,29202,"1.54E+001",0
1359,"13-6月 -21 12.00.00.000000000 上午",0,"8.6299999999999997E+001",1001,10549,2136,0,21378,14044,"1.3300000000000001E+001",0
1670,"14-6月 -21 12.00.00.000000000 上午",0,"9.5400000000000006E+001",1001,12652,2372,0,21381,16694,"1.14E+001",0
2116,"16-6月 -21 12.00.00.000000000 上午",0,"1.037E+002",1001,16644,3689,0,21383,22449,"1.1199999999999999E+001",0
1482,"11-6月 -21 12.00.00.000000000 上午",0,"9.3099999999999994E+001",1001,11664,1514,0,21376,14660,"8.1999999999999993E+000",0
1484,"06-6月 -21 12.00.00.000000000 上午",0,"8.9599999999999994E+001",1001,10424,1832,0,21371,13740,"1.0199999999999999E+001",0
2108,"03-6月 -21 12.00.00.000000000 上午",0,"9.4E+001",1001,13984,3214,0,21368,19306,"1.1800000000000001E+001",0
1461,"07-6月 -21 12.00.00.000000000 上午",0,"8.8799999999999997E+001",1001,10416,1479,0,21372,13356,"8.4000000000000004E+000",0
1643,"05-6月 -21 12.00.00.000000000 上午",0,"8.4799999999999997E+001",1001,11260,2022,0,21370,14925,"1.11E+001",0
1500,"02-6月 -21 12.00.00.000000000 上午",0,"8.85E+001",1001,9504,1899,0,21367,12903,"9.5999999999999996E+000",0
2569,"04-6月 -21 12.00.00.000000000 上午",0,"8.6099999999999994E+001",1001,15998,3616,0,21369,22183,"1.55E+001",0
2734,"27-5月 -21 12.00.00.000000000 上午",0,"9.4400000000000006E+001",1001,18170,4830,0,21361,25734,"1.54E+001",0
2313,"30-5月 -21 12.00.00.000000000 上午",0,"1.0059999999999999E+002",1001,16573,3865,0,21364,22751,"1.24E+001",0
2154,"31-5月 -21 12.00.00.000000000 上午",0,"9.7599999999999994E+001",1001,15424,3160,0,21365,20738,"1.1E+001",0
2131,"29-5月 -21 12.00.00.000000000 上午",0,"9.9099999999999994E+001",1001,16763,3562,0,21363,22456,"1.2199999999999999E+001",0
1910,"24-5月 -21 12.00.00.000000000 上午",0,"9.5400000000000006E+001",1001,13909,2317,0,21358,18136,"1.0300000000000001E+001",0
1474,"01-6月 -21 12.00.00.000000000 上午",0,"8.7700000000000003E+001",1001,9926,1819,0,21366,13219,"1.0699999999999999E+001",0
1870,"25-5月 -21 12.00.00.000000000 上午",0,"8.7700000000000003E+001",1001,12686,2271,0,21359,16827,"1.21E+001",0
1835,"26-5月 -21 12.00.00.000000000 上午",0,"9.4400000000000006E+001",1001,13063,3144,0,21360,18042,"1.09E+001",0
2747,"28-5月 -21 12.00.00.000000000 上午",0,"9.5299999999999997E+001",1001,18614,4885,0,21362,26246,"1.5699999999999999E+001",0
1220,"24-3月 -21 12.00.00.000000000 上午",0,"9.0E+001",1001,8765,1171,0,21185,11156,"6.7999999999999998E+000",0
