date,health,temperature,humidity,light_intensity,soil_temperature,soil_humidity,co2,rain
2021/1/9 11:00,1,0,0,0,0,0,0,1
2021/1/9 12:00,1,40499,24,53,32,59,482,1
2021/1/9 13:00,1,42356,25,52,28,58,395,1
2021/1/9 14:00,1,33357,30,14,28,63,395,1
2021/1/9 15:00,1,18053,30,0,26,76,395,1
2021/1/9 16:00,1,2,21,0,21,88,395,1
2021/1/9 17:00,1,0,18,0,18,91,433,1
2021/1/9 18:00,1,0,16,0,17,92,573,1
2021/1/9 19:00,1,0,15,0,16,93,696,1
2021/1/9 20:00,1,0,15,0,15,93,906,1
2021/1/9 21:00,1,0,14,0,14,93,1113,1
2021/1/9 22:00,1,0,13,0,14,94,1210,1
2021/1/9 23:00,1,0,13,0,13,94,1304,1
2021/1/10 0:00,1,0,12,0,13,94,1391,1
2021/1/10 1:00,1,0,12,0,12,94,1457,1
2021/1/10 2:00,1,0,12,0,12,95,1526,1
2021/1/10 3:00,1,0,12,0,12,95,1593,1
2021/1/10 4:00,1,0,11,0,12,95,1656,1
2021/1/10 5:00,1,0,11,0,12,95,1713,1
2021/1/10 6:00,1,0,11,0,11,95,1761,1
2021/1/10 7:00,1,0,10,0,11,95,1807,1
2021/1/10 8:00,1,0,11,0,11,95,1836,1
2021/1/10 9:00,1,26343,21,0,19,83,1739,1
2021/1/10 10:00,1,36588,32,0,27,76,1676,1
2021/1/10 11:00,1,40314,38,0,32,71,1525,1
2021/1/10 12:00,1,34206,38,0,33,74,1355,1
2021/1/10 13:00,1,29377,35,0,31,78,1237,1
2021/1/10 14:00,1,11728,27,0,25,86,1237,1
2021/1/10 15:00,1,4177,21,0,20,89,1297,1
2021/1/10 16:00,1,0,19,0,19,94,1436,1
2021/1/10 17:00,1,0,18,0,18,96,1605,1
2021/1/10 18:00,1,0,17,0,18,96,1721,1
2021/1/10 19:00,1,0,17,0,17,96,1823,1
2021/1/10 20:00,1,0,16,0,16,96,1914,1
2021/1/10 21:00,1,0,15,0,16,96,1986,1
2021/1/10 22:00,1,0,15,0,15,97,2055,1
2021/1/10 23:00,1,0,15,0,15,97,2130,1
2021/1/11 0:00,1,0,14,0,15,97,2191,1
2021/1/11 1:00,1,0,14,0,14,97,2258,1
2021/1/11 2:00,1,0,14,0,14,97,2310,1
2021/1/11 3:00,1,0,13,0,14,97,2363,1
2021/1/11 4:00,1,0,13,0,14,97,2400,1
2021/1/11 5:00,1,0,13,0,14,97,2437,1
2021/1/11 6:00,1,0,13,0,13,97,2462,1
2021/1/11 7:00,1,0,12,0,13,97,2495,1
2021/1/11 8:00,1,0,13,0,13,97,2509,1
2021/1/11 9:00,1,14271,17,0,17,91,2467,1
2021/1/11 10:00,1,32429,29,0,25,78,1840,1
2021/1/11 11:00,1,34537,34,0,29,75,1400,1
2021/1/11 12:00,1,34251,35,0,30,73,652,1
2021/1/11 13:00,1,36923,36,0,30,72,397,1
2021/1/11 14:00,1,29933,33,0,29,80,397,1
2021/1/11 15:00,1,18098,28,0,25,88,471,1
2021/1/11 16:00,1,1154,22,0,22,92,707,1
2021/1/11 17:00,1,0,20,0,20,95,910,1
2021/1/11 18:00,1,0,18,0,19,95,1076,1
2021/1/11 19:00,1,0,17,0,18,96,1254,1
2021/1/11 20:00,1,0,17,0,17,96,1389,1
2021/1/11 21:00,1,0,16,0,16,96,1515,1
2021/1/11 22:00,1,0,15,0,16,96,1616,1
2021/1/11 23:00,1,0,15,0,15,96,1700,1
2021/1/12 0:00,1,0,14,0,15,96,1791,1
2021/1/12 1:00,1,0,14,0,14,96,1873,1
2021/1/12 2:00,1,0,14,0,14,96,1934,1
2021/1/12 3:00,1,0,13,0,14,96,1986,1
2021/1/12 4:00,1,0,13,0,14,96,2043,1
2021/1/12 5:00,1,0,13,0,13,96,2097,1
2021/1/12 6:00,1,0,13,0,13,97,2140,1
2021/1/12 7:00,1,0,13,0,13,96,2185,1
2021/1/12 8:00,1,1768,13,0,13,97,2207,1
2021/1/12 9:00,1,26502,22,0,20,83,1884,1
2021/1/12 10:00,1,36482,32,0,27,76,1540,1
2021/1/12 11:00,1,40287,38,0,32,71,1214,1
2021/1/12 12:00,1,38110,38,0,33,69,425,1
2021/1/12 13:00,1,37588,32,32,32,70,395,1
2021/1/12 14:00,1,30341,26,58,29,72,395,1
2021/1/12 15:00,1,17708,25,59,28,81,396,1
2021/1/12 16:00,1,0,24,58,24,91,454,1
2021/1/12 17:00,1,0,23,58,21,94,684,1
2021/1/12 18:00,1,0,22,58,20,95,899,1
2021/1/12 19:00,1,0,21,58,19,95,1078,1
2021/1/12 20:00,1,0,21,58,18,95,1328,1
2021/1/12 21:00,1,0,20,58,18,95,2036,1
2021/1/12 22:00,1,0,20,57,17,96,2216,1
2021/1/12 23:00,1,0,19,57,17,96,2351,1
2021/1/13 0:00,1,0,19,56,16,96,2506,1
2021/1/13 1:00,1,0,18,56,16,96,2619,1
2021/1/13 2:00,1,0,18,55,16,96,2734,1
2021/1/13 3:00,1,0,18,55,15,96,2857,1
2021/1/13 4:00,1,0,18,55,15,96,2922,1
2021/1/13 5:00,1,0,17,55,15,96,3052,1
2021/1/13 6:00,1,0,17,54,15,96,3184,1
2021/1/13 7:00,1,0,17,54,15,96,3290,1
2021/1/13 8:00,1,0,17,54,15,97,3432,1
2021/1/13 9:00,1,22221,18,54,21,88,3450,1
2021/1/13 10:00,1,35400,20,57,30,78,3242,1
2021/1/13 11:00,1,38410,22,59,33,70,1811,1
2021/1/13 12:00,1,36482,24,60,34,71,447,1
2021/1/13 13:00,1,36961,26,60,33,67,398,1
2021/1/13 14:00,1,29261,26,59,31,65,398,1
2021/1/13 15:00,1,15919,25,58,28,79,437,1
2021/1/13 16:00,1,4854,25,58,25,87,749,1
2021/1/13 17:00,1,0,23,57,22,93,1093,1
2021/1/13 18:00,1,0,23,56,21,94,1425,1
2021/1/13 19:00,1,0,22,56,20,95,1721,1
2021/1/13 20:00,1,0,21,55,19,95,1949,1
2021/1/13 21:00,1,0,21,55,18,95,2201,1
2021/1/13 22:00,1,0,20,54,18,95,2410,1
2021/1/13 23:00,1,0,20,54,18,96,2595,1
2021/1/14 0:00,1,0,19,53,17,96,2764,1
2021/1/14 1:00,1,0,19,53,17,96,2905,1
2021/1/14 2:00,1,0,19,52,16,96,3054,1
2021/1/14 3:00,1,0,19,52,16,96,3174,1
2021/1/14 4:00,1,0,18,52,16,96,3284,1
2021/1/14 5:00,1,0,18,51,16,96,3387,1
2021/1/14 6:00,1,0,18,51,15,96,3465,1
2021/1/14 7:00,1,0,18,51,15,96,3532,1
2021/1/14 8:00,1,15,18,45,15,96,3668,1
2021/1/14 9:00,1,23484,18,44,22,87,3651,1
2021/1/14 10:00,1,34323,20,45,29,72,2398,1
2021/1/14 11:00,1,37790,21,45,29,64,452,1
2021/1/14 12:00,1,35827,23,47,31,64,398,1
2021/1/14 13:00,1,37543,24,47,32,61,398,1
2021/1/14 14:00,1,30147,24,53,29,49,397,1
2021/1/14 15:00,1,18388,23,58,27,65,399,1
2021/1/14 16:00,1,5918,23,58,24,86,602,1
2021/1/14 17:00,1,0,22,58,22,92,975,1
